section,item,detail
0. Custom types,account_status_type,"'active', 'inactive'"
0. Custom types,bill_status_type,"'Pending', 'Due', 'Overdue', 'Paid', 'Partially Paid'"
0. Custom types,bill_type_enum,"'Rent', 'Water', 'Combined', 'Other'"
0. Custom types,inquiry_status_type,"'Pending', 'Contacted', 'Converted', 'Closed'"
0. Custom types,operational_status_type,"'Available', 'Reserved', 'Occupied', 'Under Maintenance'"
0. Custom types,payment_method_type,"'Cash', 'GCash', 'Bank Transfer', 'Adyen Online'"
0. Custom types,property_area_type,"'Boarding House', 'Main House', 'Front Apartment', 'Back Apartment', 'Other Expenses / Personal', 'Penthouse'"
0. Custom types,room_type_enum,"'Studio', 'One-bedroom', 'Two-bedroom', 'Three-bedroom'"
0. Custom types,ticket_priority_type,"'Emergency', 'High', 'Medium', 'Low'"
0. Custom types,ticket_status_type,"'Submitted', 'In Progress', 'Resolved', 'Closed'"
0. Custom types,user_role_type,"'admin', 'tenant', 'prospect'"
0. Custom types,verification_status_type,"'Verified', 'Pending Verification', 'Rejected'"
0. Custom types,visibility_status_type,"'Published', 'Hidden'"
1. Columns,audit_logs.action,character varying(100) NOT NULL
1. Columns,audit_logs.actor_profile_id,uuid NULL
1. Columns,audit_logs.created_at,timestamp with time zone NULL DEFAULT now()
1. Columns,audit_logs.entity_id,uuid NOT NULL
1. Columns,audit_logs.entity_type,character varying(100) NOT NULL
1. Columns,audit_logs.id,uuid NOT NULL DEFAULT gen_random_uuid()
1. Columns,audit_logs.ip_address,character varying(50) NULL
1. Columns,audit_logs.new_values,jsonb NULL
1. Columns,audit_logs.previous_values,jsonb NULL
1. Columns,bills.bill_type,bill_type_enum NOT NULL DEFAULT 'Combined'::bill_type_enum
1. Columns,bills.billing_period_end,date NOT NULL
1. Columns,bills.billing_period_start,date NOT NULL
1. Columns,bills.created_at,timestamp with time zone NULL DEFAULT now()
1. Columns,bills.due_date,date NOT NULL
1. Columns,bills.grace_period_end_date,date NOT NULL
1. Columns,bills.id,uuid NOT NULL DEFAULT gen_random_uuid()
1. Columns,bills.rent_amount,"numeric(10,2) NOT NULL DEFAULT 0.00"
1. Columns,bills.room_id,uuid NOT NULL
1. Columns,bills.status,bill_status_type NOT NULL DEFAULT 'Pending'::bill_status_type
1. Columns,bills.tenant_profile_id,uuid NOT NULL
1. Columns,bills.total_amount,"numeric(10,2) NOT NULL"
1. Columns,bills.updated_at,timestamp with time zone NULL DEFAULT now()
1. Columns,bills.water_amount,"numeric(10,2) NOT NULL DEFAULT 0.00"
1. Columns,clusters.code,character varying(50) NOT NULL
1. Columns,clusters.display_order,integer NOT NULL
1. Columns,clusters.expense_area,property_area_type NOT NULL
1. Columns,clusters.name,character varying(100) NOT NULL
1. Columns,copied_period_backup_031.corrected_at,timestamp with time zone NOT NULL DEFAULT now()
1. Columns,copied_period_backup_031.id,uuid NOT NULL
1. Columns,copied_period_backup_031.invoice_number,text NULL
1. Columns,copied_period_backup_031.new_period_end,date NULL
1. Columns,copied_period_backup_031.new_period_start,date NULL
1. Columns,copied_period_backup_031.old_period_end,date NULL
1. Columns,copied_period_backup_031.old_period_start,date NULL
1. Columns,date_paid_import_backup_032.corrected_at,timestamp with time zone NOT NULL DEFAULT now()
1. Columns,date_paid_import_backup_032.how,text NULL
1. Columns,date_paid_import_backup_032.id,uuid NOT NULL
1. Columns,date_paid_import_backup_032.invoice_number,text NULL
1. Columns,date_paid_import_backup_032.new_date_paid,date NULL
1. Columns,date_paid_import_backup_032.old_date_paid,date NULL
1. Columns,expense_property_allocations.amount,"numeric(10,2) NOT NULL"
1. Columns,expense_property_allocations.created_at,timestamp with time zone NULL DEFAULT now()
1. Columns,expense_property_allocations.expense_entry_id,uuid NOT NULL
1. Columns,expense_property_allocations.id,uuid NOT NULL DEFAULT gen_random_uuid()
1. Columns,expense_property_allocations.property_area,property_area_type NOT NULL
1. Columns,fixed_expense_categories.code,character varying(20) NOT NULL
1. Columns,fixed_expense_categories.display_order,integer NOT NULL
1. Columns,fixed_expense_categories.name,character varying(255) NOT NULL
1. Columns,fixed_expense_categories.parent_code,character varying(20) NULL
1. Columns,inquiries.converted_tenant_id,uuid NULL
1. Columns,inquiries.created_at,timestamp with time zone NULL DEFAULT now()
1. Columns,inquiries.id,uuid NOT NULL DEFAULT gen_random_uuid()
1. Columns,inquiries.message,text NOT NULL
1. Columns,inquiries.prospect_email,character varying(255) NOT NULL
1. Columns,inquiries.prospect_name,character varying(255) NOT NULL
1. Columns,inquiries.prospect_phone,character varying(50) NOT NULL
1. Columns,inquiries.room_id,uuid NOT NULL
1. Columns,inquiries.status,inquiry_status_type NOT NULL DEFAULT 'Pending'::inquiry_status_type
1. Columns,inquiries.updated_at,timestamp with time zone NULL DEFAULT now()
1. Columns,inquiry_messages.id,uuid NOT NULL DEFAULT gen_random_uuid()
1. Columns,inquiry_messages.inquiry_id,uuid NOT NULL
1. Columns,inquiry_messages.message_body,text NOT NULL
1. Columns,inquiry_messages.sender_id,uuid NULL
1. Columns,inquiry_messages.sender_name,character varying(255) NOT NULL
1. Columns,inquiry_messages.sent_at,timestamp with time zone NULL DEFAULT now()
1. Columns,maintenance_tickets.assigned_technician,character varying(160) NULL
1. Columns,maintenance_tickets.category,character varying(100) NOT NULL DEFAULT 'General Repair'::character varying
1. Columns,maintenance_tickets.closed_at,timestamp with time zone NULL
